         73146004 function calls (73142479 primitive calls) in 4944.485 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    63269 3739.760    0.059 3739.760    0.059 {method 'acquire' of '_thread.lock' objects}
    48284  644.674    0.013  644.674    0.013 {method 'recv_into' of '_socket.socket' objects}
     3163  178.831    0.057  178.831    0.057 {method 'acquire' of '_multiprocessing.SemLock' objects}
     3163  137.699    0.044  137.699    0.044 {method 'connect' of '_socket.socket' objects}
    15815   45.925    0.003   45.925    0.003 {built-in method posix.fork}
    68131   37.882    0.001   37.882    0.001 {built-in method posix.waitpid}
     3162   28.788    0.009   28.788    0.009 {built-in method batman._rsky._rsky}
     3162   20.832    0.007   51.464    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
    19016   12.692    0.001   12.692    0.001 {method 'argsort' of 'numpy.ndarray' objects}
   633211    5.463    0.000    5.463    0.000 {method 'partition' of 'numpy.ndarray' objects}
     3162    4.068    0.001    4.068    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
   625917    3.202    0.000   28.664    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4125(_median)
    49481    3.029    0.000    3.797    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
   990508    2.980    0.000    3.104    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   644889    2.907    0.000   11.805    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1119(_median_nancheck)
     3162    2.709    0.001    2.709    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
  1362718    2.454    0.000    3.779    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1459(normalize_axis_tuple)
   681359    2.240    0.000    7.542    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1515(moveaxis)
     3647    2.190    0.001 4941.598    1.355 transitsim.py:69(simulate_one)
     3163    2.121    0.001    2.140    0.001 {built-in method _socket.getaddrinfo}
    20912    2.056    0.000    2.056    0.000 {built-in method numpy.core.multiarray.concatenate}
   625917    2.004    0.000    5.042    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:53(_mean)
    15815    1.915    0.000   49.577    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
     3163    1.730    0.001    1.730    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
   310046    1.601    0.000    3.842    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:2934(__array_finalize__)
   512421    1.463    0.000    2.601    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:2908(_update_from)
    18978    1.282    0.000    1.370    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
   668037    1.224    0.000    1.224    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     3163    1.204    0.000   56.713    0.018 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
  3023762    1.190    0.000    1.440    0.000 {built-in method numpy.core.multiarray.array}
5350836/5350769    1.161    0.000    1.162    0.000 {built-in method builtins.issubclass}
    15815    1.135    0.000   53.416    0.003 /usr/lib/python3.6/multiprocessing/process.py:95(start)
    15815    1.130    0.000    1.721    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
  1304366    1.120    0.000    3.126    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:699(issubdtype)
   652183    1.103    0.000   37.224    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:3982(_ureduce)
  5053961    1.062    0.000    1.069    0.000 {built-in method builtins.getattr}
  2608732    1.041    0.000    1.885    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:631(issubclass_)
    49481    0.864    0.000    1.707    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:530(__init__)
    15815    0.790    0.000   51.789    0.003 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
  3463928    0.777    0.000    0.777    0.000 {method 'pop' of 'dict' objects}
  3318062    0.759    0.000    0.759    0.000 {built-in method builtins.setattr}
   625917    0.727    0.000    5.769    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2854(mean)
    12652    0.660    0.000    1.684    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
4229681/4229602    0.623    0.000    0.624    0.000 {built-in method builtins.isinstance}
  2725436    0.567    0.000    0.899    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1506(<genexpr>)
  2566463    0.565    0.000    1.168    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:495(asanyarray)
   625917    0.562    0.000    6.836    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:578(partition)
    31708    0.542    0.000    1.800    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1154(__call__)
   625917    0.516    0.000   30.575    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4037(median)
     2000    0.512    0.000    0.539    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:278(close)
781310/778192    0.489    0.000    0.622    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3372(__setattr__)
   812398    0.481    0.000    0.485    0.000 {built-in method builtins.hasattr}
   631035    0.479    0.000    0.589    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:43(_count_reduce_items)
4396802/4396745    0.449    0.000    0.449    0.000 {built-in method builtins.len}
     3163    0.419    0.000   63.384    0.020 /usr/lib/python3.6/multiprocessing/pool.py:153(__init__)
     2000    0.400    0.000    0.409    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:79(make_fid)
     9489    0.395    0.000    0.824    0.000 /usr/lib/python3.6/threading.py:757(__init__)
   332197    0.387    0.000    0.922    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2460(seterr)
   681360    0.379    0.000    0.379    0.000 {built-in method builtins.sorted}
    44273    0.374    0.000    0.374    0.000 {built-in method posix.close}
  2239556    0.364    0.000    0.364    0.000 {method 'update' of 'dict' objects}
    34843    0.363    0.000    1.840    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1007(__call__)
    31630    0.360    0.000    0.360    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     4000    0.354    0.000    0.602    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:53(make_new_dset)
    15810    0.353    0.000   13.536    0.001 /usr/local/lib/python3.6/dist-packages/astropy/stats/sigma_clipping.py:131(_perform_clip)
    15815    0.347    0.000   50.593    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:16(__init__)
    69307    0.336    0.000    2.815    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3004(__array_wrap__)
  1362718    0.332    0.000    0.332    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
     9489    0.329    0.000    0.329    0.000 {built-in method _thread.start_new_thread}
   706699    0.328    0.000    0.328    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   332197    0.323    0.000    0.352    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2560(geterr)
    15815    0.309    0.000    0.669    0.000 /usr/lib/python3.6/multiprocessing/util.py:395(_flush_std_streams)
    37950    0.298    0.000    0.599    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:846(__call__)
     5118    0.282    0.000    1.384    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:86(_var)
    18972    0.278    0.000    5.622    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/extras.py:699(_median)
     7294    0.263    0.000    1.400    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4298(_percentile)
    25339    0.262    0.000    0.314    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
     3163    0.252    0.000  795.460    0.251 /usr/local/lib/python3.6/dist-packages/kplr/api.py:155(mast_request)
     6325    0.243    0.000    0.243    0.000 {method 'choice' of 'mtrand.RandomState' objects}
    56916    0.241    0.000    1.338    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3186(__getitem__)
    69946    0.239    0.000   38.151    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:24(poll)
     3163    0.231    0.000  217.941    0.069 /usr/lib/python3.6/multiprocessing/pool.py:561(_terminate_pool)
    15815    0.231    0.000    1.951    0.000 /usr/lib/python3.6/multiprocessing/pool.py:150(Process)
   648051    0.228    0.000    0.338    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6198(isMaskedArray)
    72814    0.217    0.000    0.576    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:4392(count)
    60394    0.213    0.000    0.261    0.000 {method 'join' of 'str' objects}
    49481    0.204    0.000    2.038    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:721(__init__)
   389288    0.203    0.000    0.203    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3570(_get_data)
    22141    0.200    0.000    0.200    0.000 /usr/lib/python3.6/threading.py:215(__init__)
    54037    0.195    0.000    0.230    0.000 <frozen importlib._bootstrap>:416(parent)
     2000    0.194    0.000    2.034    0.001 transitsim.py:150(save_to_hdf)
    15815    0.193    0.000    0.395    0.000 /usr/lib/python3.6/multiprocessing/process.py:52(_cleanup)
   151659    0.191    0.000    0.191    0.000 {method 'format' of 'str' objects}
     3163    0.185    0.000    1.699    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
     2000    0.181    0.000    0.181    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:42(make_fapl)
    47474    0.178    0.000    0.263    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3383(__setmask__)
   101216    0.171    0.000    0.241    0.000 /usr/lib/python3.6/random.py:223(_randbelow)
    18972    0.167    0.000    6.704    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:5213(var)
    88668    0.167    0.000    0.788    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3669(filled)
   681359    0.166    0.000    0.166    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1577(<listcomp>)
   708583    0.162    0.000    0.334    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1360(getmask)
    22141    0.162    0.000    0.162    0.000 {built-in method posix.pipe}
   685006    0.161    0.000    0.161    0.000 {method 'insert' of 'list' objects}
    18966    0.157    0.000    0.513    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:925(__call__)
    53842    0.156    0.000    1.358    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:4961(sum)
     3162    0.156    0.000   28.960    0.009 /usr/local/lib/python3.6/dist-packages/batman/transitmodel.py:71(__init__)
  1365880    0.147    0.000    0.147    0.000 {built-in method _operator.index}
    48284    0.145    0.000  644.983    0.013 /usr/lib/python3.6/socket.py:572(readinto)
   778357    0.144    0.000    0.144    0.000 {method 'append' of 'list' objects}
