         7724124 function calls (7720074 primitive calls) in 239.023 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4420  140.344    0.032  140.344    0.032 {method 'acquire' of '_thread.lock' objects}
     3322   50.368    0.015   50.368    0.015 {method 'recv_into' of '_socket.socket' objects}
      221   12.002    0.054   12.002    0.054 {method 'acquire' of '_multiprocessing.SemLock' objects}
      221    6.913    0.031    6.913    0.031 {method 'connect' of '_socket.socket' objects}
     3221    6.343    0.002    6.343    0.002 {method 'argsort' of 'numpy.ndarray' objects}
     1105    3.863    0.003    3.863    0.003 {built-in method posix.fork}
     4922    3.028    0.001    3.028    0.001 {built-in method posix.waitpid}
      221    2.459    0.011    2.459    0.011 {built-in method batman._rsky._rsky}
      221    1.210    0.005    3.475    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
     3600    0.906    0.000    6.835    0.002 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:5474(sort)
   110457    0.713    0.000    0.730    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9000    0.585    0.000    0.606    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3373(__setmask__)
    44545    0.453    0.000    0.453    0.000 {method 'partition' of 'numpy.ndarray' objects}
      221    0.324    0.001    0.324    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
    10800    0.302    0.000    0.477    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3158(__getitem__)
    47645    0.258    0.000    1.076    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/utils.py:1119(_median_nancheck)
     3421    0.254    0.000    0.320    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
      250    0.250    0.001  238.786    0.955 transitsim.py:91(simulate_one)
    97200    0.246    0.000    0.430    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2902(_update_from)
   265684    0.243    0.000    0.292    0.000 {built-in method numpy.core.multiarray.array}
    44045    0.236    0.000    2.120    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3342(_median)
      221    0.221    0.001    0.221    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
    58800    0.199    0.000    0.641    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2928(__array_finalize__)
     6600    0.188    0.000    0.464    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1006(__call__)
     1442    0.181    0.000    0.181    0.000 {built-in method numpy.core.multiarray.concatenate}
   100290    0.181    0.000    0.279    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1468(normalize_axis_tuple)
    14070    0.174    0.000    0.174    0.000 {method 'copy' of 'numpy.ndarray' objects}
    50145    0.171    0.000    0.591    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1524(moveaxis)
      221    0.164    0.001    0.164    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
     1105    0.164    0.000    4.162    0.004 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
   944697    0.159    0.000    0.161    0.000 {built-in method builtins.getattr}
    51145    0.157    0.000    0.157    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      221    0.154    0.001    0.157    0.001 {built-in method _socket.getaddrinfo}
     3000    0.151    0.000    9.417    0.003 /home/yangyangli/.local/lib/python3.6/site-packages/astropy/stats/sigma_clipping.py:131(_perform_clip)
    44045    0.141    0.000    0.368    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/_methods.py:58(_mean)
     8400    0.135    0.000    0.218    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1695(mask_or)
    10434    0.126    0.000    0.126    0.000 {built-in method numpy.core.multiarray.copyto}
     6000    0.103    0.000    0.314    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1153(__call__)
      221    0.100    0.000    4.772    0.022 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
        1    0.094    0.094    0.095    0.095 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     1105    0.093    0.000    0.148    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
     1326    0.092    0.000    0.100    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
421131/420892    0.090    0.000    0.091    0.000 {built-in method builtins.issubclass}
     1105    0.090    0.000    4.490    0.004 /usr/lib/python3.6/multiprocessing/process.py:95(start)
    48145    0.089    0.000   10.285    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3199(_ureduce)
      421    0.088    0.000   11.406    0.027 transitsim.py:55(check_snr)
     3000    0.087    0.000    0.087    0.000 {built-in method numpy.core.multiarray.where}
    99290    0.087    0.000    0.245    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numerictypes.py:687(issubdtype)
   198580    0.084    0.000    0.150    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numerictypes.py:619(issubclass_)
     3421    0.073    0.000    0.145    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:530(__init__)
     3000    0.072    0.000    0.078    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3278(__setitem__)
532066/531708    0.070    0.000    0.071    0.000 {built-in method builtins.isinstance}
   257444    0.068    0.000    0.068    0.000 {method 'pop' of 'dict' objects}
     1105    0.068    0.000    4.359    0.004 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
     3000    0.067    0.000    0.159    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:4185(__imul__)
    63010    0.066    0.000    0.157    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:2491(seterr)
   229319    0.065    0.000    0.065    0.000 {built-in method builtins.setattr}
    13800    0.064    0.000    0.405    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:4382(count)
   424053    0.058    0.000    0.058    0.000 {method 'update' of 'dict' objects}
      884    0.058    0.000    0.144    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
    63010    0.055    0.000    0.060    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:2592(geterr)
    13200    0.054    0.000    0.593    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3019(__array_wrap__)
    44045    0.052    0.000    0.420    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2817(mean)
     3600    0.052    0.000    7.948    0.002 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/extras.py:700(_median)
