         658106 function calls (656644 primitive calls) in 21.185 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      420   13.395    0.032   13.395    0.032 {method 'acquire' of '_thread.lock' objects}
      306    3.972    0.013    3.972    0.013 {method 'recv_into' of '_socket.socket' objects}
       21    0.983    0.047    0.983    0.047 {method 'acquire' of '_multiprocessing.SemLock' objects}
       21    0.693    0.033    0.693    0.033 {method 'connect' of '_socket.socket' objects}
      105    0.333    0.003    0.333    0.003 {built-in method posix.fork}
       21    0.258    0.012    0.570    0.027 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
      462    0.239    0.001    0.239    0.001 {built-in method posix.waitpid}
       21    0.227    0.011    0.227    0.011 {built-in method batman._rsky._rsky}
     4288    0.120    0.000    0.120    0.000 {method 'partition' of 'numpy.ndarray' objects}
      227    0.095    0.000    0.095    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.092    0.092    0.092    0.092 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
       21    0.031    0.001    0.031    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
     8845    0.025    0.000    0.026    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4488    0.025    0.000    0.098    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/utils.py:1119(_median_nancheck)
     4242    0.024    0.000    0.296    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3342(_median)
      314    0.023    0.000    0.029    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
       21    0.020    0.001    0.020    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
     9436    0.019    0.000    0.028    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1468(normalize_axis_tuple)
      105    0.018    0.000    0.363    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
      134    0.016    0.000    0.016    0.000 {built-in method numpy.core.multiarray.concatenate}
     4718    0.016    0.000    0.057    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1524(moveaxis)
       23    0.016    0.001   21.052    0.915 transitsim.py:70(simulate_one)
     6690    0.016    0.000    0.028    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2902(_update_from)
     4242    0.014    0.000    0.036    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/_methods.py:58(_mean)
       21    0.013    0.001    0.013    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
       21    0.013    0.001    0.014    0.001 {built-in method _socket.getaddrinfo}
     4059    0.012    0.000    0.040    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2928(__array_finalize__)
    67116    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
     4740    0.011    0.000    0.011    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       21    0.010    0.000    0.422    0.020 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
    23302    0.010    0.000    0.013    0.000 {built-in method numpy.core.multiarray.array}
     4534    0.009    0.000    0.380    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3199(_ureduce)
      105    0.009    0.000    0.395    0.004 /usr/lib/python3.6/multiprocessing/process.py:95(start)
      105    0.009    0.000    0.014    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
    18548    0.009    0.000    0.015    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numerictypes.py:619(issubclass_)
40051/39745    0.008    0.000    0.010    0.000 {built-in method builtins.issubclass}
      126    0.008    0.000    0.009    0.000 /usr/lib/python3.6/multiprocessing/util.py:151(__init__)
     9274    0.008    0.000    0.024    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numerictypes.py:687(issubdtype)
      105    0.007    0.000    0.382    0.004 /usr/lib/python3.6/multiprocessing/context.py:274(_Popen)
      314    0.006    0.000    0.013    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:530(__init__)
    21150    0.006    0.000    0.006    0.000 {built-in method builtins.setattr}
      412    0.006    0.000    0.020    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1153(__call__)
45195/44763    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
    23020    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
     4242    0.006    0.000    0.042    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2817(mean)
       84    0.005    0.000    0.013    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:51(__init__)
     4369    0.004    0.000    0.010    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:2491(seterr)
       20    0.004    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:278(close)
      205    0.004    0.000    0.148    0.001 /home/yangyangli/.local/lib/python3.6/site-packages/astropy/stats/sigma_clipping.py:131(_perform_clip)
     6268    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     4242    0.004    0.000    0.133    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:601(partition)
