         4981613 function calls (4908035 primitive calls) in 126.638 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45   40.646    0.903   56.812    1.262 {method 'mainloop' of '_tkinter.tkapp' objects}
      900   33.334    0.037   33.334    0.037 {method 'acquire' of '_thread.lock' objects}
5168/5033   25.150    0.005   26.883    0.005 {method 'call' of '_tkinter.tkapp' objects}
      685    8.452    0.012    8.452    0.012 {method 'recv_into' of '_socket.socket' objects}
       45    2.822    0.063    2.822    0.063 {built-in method _tkinter.create}
       45    2.287    0.051    2.287    0.051 {method 'acquire' of '_multiprocessing.SemLock' objects}
       45    1.377    0.031    1.377    0.031 {method 'connect' of '_socket.socket' objects}
      495    1.241    0.003    1.241    0.003 {method 'argsort' of 'numpy.ndarray' objects}
      225    0.926    0.004    0.926    0.004 {built-in method posix.fork}
     1009    0.648    0.001    0.648    0.001 {built-in method posix.waitpid}
     1350    0.538    0.000    0.566    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       45    0.489    0.011    0.489    0.011 {built-in method batman._rsky._rsky}
      540    0.447    0.001    1.618    0.003 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:5474(sort)
    48927    0.278    0.000    0.283    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   132858    0.255    0.000    0.266    0.000 {built-in method numpy.core.multiarray.array}
       45    0.249    0.006    0.720    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
      540    0.190    0.000    0.193    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2340    0.190    0.000    0.190    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
15081/9411    0.176    0.000    0.184    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/transforms.py:134(_invalidate_internal)
    11115    0.175    0.000    0.204    0.000 /usr/lib/python3.6/contextlib.py:157(helper)
       90    0.149    0.002    0.179    0.002 {built-in method matplotlib._path.get_path_collection_extents}
       90    0.140    0.002    0.140    0.002 {built-in method matplotlib.backends._tkagg.blit}
     1350    0.127    0.000    0.131    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3373(__setmask__)
   185710    0.113    0.000    0.113    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/__init__.py:870(__getitem__)
168120/136080    0.110    0.000    0.196    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/artist.py:225(stale)
     9189    0.092    0.000    0.092    0.000 {method 'partition' of 'numpy.ndarray' objects}
        1    0.089    0.089    0.089    0.089 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     3645    0.085    0.000    0.876    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/lines.py:277(__init__)
    18398    0.073    0.000    0.073    0.000 {method 'copy' of 'numpy.ndarray' objects}
   224397    0.071    0.000    0.076    0.000 {built-in method builtins.getattr}
     1620    0.066    0.000    0.100    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3158(__getitem__)
       45    0.065    0.001    0.065    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
244104/243482    0.063    0.000    0.106    0.000 {built-in method builtins.isinstance}
     8145    0.057    0.000    0.088    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/artist.py:82(__init__)
     4389    0.056    0.000    0.056    0.000 {built-in method numpy.core.multiarray.concatenate}
     9627    0.053    0.000    0.223    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/utils.py:1119(_median_nancheck)
       45    0.053    0.001    0.057    0.001 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:81(__init__)
    15390    0.052    0.000    0.091    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2902(_update_from)
     1170    0.052    0.000    0.052    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      697    0.052    0.000    0.065    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
       51    0.052    0.001  126.523    2.481 transitsim.py:91(simulate_one)
    17428    0.052    0.000    0.052    0.000 {built-in method numpy.core.multiarray.dot}
       45    0.051    0.001    0.051    0.001 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     9087    0.048    0.000    0.442    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3342(_median)
    11141    0.048    0.000    0.048    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       45    0.048    0.001    0.048    0.001 {built-in method gc.collect}
     9765    0.048    0.000    0.367    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/artist.py:885(update)
     2385    0.047    0.000    0.217    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/lines.py:637(recache)
       45    0.044    0.001    0.044    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
      990    0.042    0.000    0.095    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1006(__call__)
     9360    0.042    0.000    0.137    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2928(__array_finalize__)
