         39076 function calls (38026 primitive calls) in 3.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    2.867    0.143    2.867    0.143 {method 'acquire' of '_thread.lock' objects}
       17    0.256    0.015    0.256    0.015 {method 'recv_into' of '_socket.socket' objects}
        1    0.093    0.093    0.093    0.093 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        1    0.041    0.041    0.041    0.041 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.029    0.029    0.029    0.029 {method 'connect' of '_socket.socket' objects}
       23    0.016    0.001    0.016    0.001 {built-in method posix.waitpid}
        5    0.015    0.003    0.015    0.003 {built-in method posix.fork}
        1    0.015    0.015    0.033    0.033 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
      204    0.010    0.000    0.010    0.000 {method 'partition' of 'numpy.ndarray' objects}
        1    0.005    0.005    0.005    0.005 {method 'argsort' of 'numpy.ndarray' objects}
        3    0.002    0.001    0.003    0.001 /home/yangyangli/.local/lib/python3.6/site-packages/pandas/core/internals.py:5017(_stack_arrays)
        1    0.002    0.002    0.002    0.002 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
       14    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       17    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
    40/38    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      202    0.001    0.000    0.018    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3342(_median)
      202    0.001    0.000    0.003    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/utils.py:1119(_median_nancheck)
        6    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.concatenate}
        2    0.001    0.000    0.001    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/pandas/core/internals.py:5298(<listcomp>)
      229    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.001    0.001    0.001    0.001 /home/yangyangli/.local/lib/python3.6/site-packages/pandas/io/parsers.py:1685(__init__)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
        1    0.001    0.001    0.002    0.002 {built-in method _socket.getaddrinfo}
        1    0.001    0.001    3.284    3.284 transitsim.py:70(simulate_one)
      424    0.001    0.000    0.001    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1468(normalize_axis_tuple)
      212    0.001    0.000    0.002    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1524(moveaxis)
      204    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        5    0.001    0.000    0.016    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
      202    0.001    0.000    0.002    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/_methods.py:58(_mean)
4154/3796    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
    135/2    0.001    0.000    0.001    0.001 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
2952/2713    0.000    0.000    0.002    0.000 {built-in method builtins.issubclass}
