         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5161    0.059    0.000    0.065    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
     1512    0.059    0.000    0.302    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4298(_percentile)
    14458    0.057    0.000    9.317    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:24(poll)
      645    0.056    0.000  153.683    0.238 /usr/local/lib/python3.6/dist-packages/kplr/api.py:155(mast_request)
     3225    0.054    0.000    0.443    0.000 /usr/lib/python3.6/multiprocessing/pool.py:150(Process)
     1290    0.054    0.000    0.054    0.000 {method 'choice' of 'mtrand.RandomState' objects}
      645    0.053    0.000   50.497    0.078 /usr/lib/python3.6/multiprocessing/pool.py:561(_terminate_pool)
   128457    0.052    0.000    0.077    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6198(isMaskedArray)
    10290    0.051    0.000    0.496    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:721(__init__)
     3225    0.047    0.000    0.091    0.000 /usr/lib/python3.6/multiprocessing/process.py:52(_cleanup)
    12932    0.047    0.000    0.055    0.000 <frozen importlib._bootstrap>:416(parent)
     1290    0.047    0.000    0.047    0.000 {built-in method h5py.h5t.py_create}
     4515    0.045    0.000    0.045    0.000 /usr/lib/python3.6/threading.py:215(__init__)
    31524    0.045    0.000    0.045    0.000 {method 'format' of 'str' objects}
      645    0.045    0.000    0.066    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:42(create_group)
      645    0.043    0.000    0.390    0.001 /usr/lib/python3.6/http/client.py:194(parse_headers)
     1290    0.039    0.000    0.051    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:317(__init__)
    20640    0.038    0.000    0.055    0.000 /usr/lib/python3.6/random.py:223(_randbelow)
   136017    0.038    0.000    0.038    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1577(<listcomp>)
   136773    0.037    0.000    0.037    0.000 {method 'insert' of 'list' objects}
     4515    0.037    0.000    0.037    0.000 {built-in method posix.pipe}
   272679    0.037    0.000    0.037    0.000 {built-in method _operator.index}
   160128    0.035    0.000    0.035    0.000 {method 'append' of 'list' objects}
    12397    0.035    0.000    0.047    0.000 {method 'join' of 'str' objects}
      645    0.034    0.000    0.073    0.000 /usr/lib/python3.6/email/feedparser.py:471(_parse_headers)
     1290    0.033    0.000    0.206    0.000 /usr/lib/python3.6/email/feedparser.py:218(_parsegen)
    20640    0.033    0.000    0.092    0.000 /usr/lib/python3.6/random.py:255(choice)
    10030    0.032    0.000  129.578    0.013 /usr/lib/python3.6/socket.py:572(readinto)
      645    0.031    0.000   87.806    0.136 /usr/lib/python3.6/http/client.py:290(begin)
      645    0.031    0.000    0.050    0.000 /usr/lib/python3.6/socket.py:218(makefile)
      645    0.030    0.000  153.722    0.238 /usr/local/lib/python3.6/dist-packages/kplr/api.py:386(_data_search)
     5805    0.029    0.000    0.065    0.000 /usr/lib/python3.6/email/message.py:462(get)
    21553    0.029    0.000    0.029    0.000 {built-in method posix.getpid}
   137888    0.029    0.000    0.029    0.000 {method 'get' of 'dict' objects}
    12901    0.028    0.000    0.180    0.000 {built-in method builtins.next}
     8350    0.027    0.000   91.188    0.011 {method 'readline' of '_io.BufferedReader' objects}
     3870    0.027    0.000   50.536    0.013 /usr/lib/python3.6/multiprocessing/util.py:167(__call__)
      645    0.026    0.000   87.354    0.135 /usr/lib/python3.6/http/client.py:257(_read_status)
     1278    0.026    0.000   38.443    0.030 {method 'read' of '_io.BufferedReader' objects}
     2580    0.026    0.000    0.152    0.000 /usr/lib/python3.6/tempfile.py:296(__next__)
      645    0.024    0.000   14.344    0.022 /usr/lib/python3.6/multiprocessing/context.py:114(Pool)
     2580    0.024    0.000  781.765    0.303 /usr/lib/python3.6/threading.py:263(wait)
     1290    0.024    0.000    0.325    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:53(create_dataset)
     1290    0.023    0.000    0.036    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/group.py:248(__setitem__)
9112/9110    0.023    0.000    0.091    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
     8390    0.023    0.000    0.023    0.000 {method 'add' of 'set' objects}
