         2187925 function calls (2154487 primitive calls) in 78.131 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20   29.550    1.477   36.468    1.823 {method 'mainloop' of '_tkinter.tkapp' objects}
      540   16.700    0.031   16.700    0.031 {method 'acquire' of '_thread.lock' objects}
      383   13.365    0.035   13.365    0.035 {method 'recv_into' of '_socket.socket' objects}
2296/2236    9.560    0.004   10.317    0.005 {method 'call' of '_tkinter.tkapp' objects}
       27    1.484    0.055    1.484    0.055 {method 'acquire' of '_multiprocessing.SemLock' objects}
       27    0.841    0.031    0.841    0.031 {method 'connect' of '_socket.socket' objects}
      127    0.572    0.005    0.572    0.005 {method 'argsort' of 'numpy.ndarray' objects}
      135    0.547    0.004    0.547    0.004 {built-in method posix.fork}
       20    0.542    0.027    0.542    0.027 {built-in method _tkinter.create}
      599    0.381    0.001    0.381    0.001 {built-in method posix.waitpid}
       27    0.290    0.011    0.290    0.011 {built-in method batman._rsky._rsky}
      120    0.193    0.002    0.699    0.006 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:5474(sort)
      592    0.188    0.000    0.200    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       27    0.141    0.005    0.431    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
    21003    0.119    0.000    0.121    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    62269    0.116    0.000    0.119    0.000 {built-in method numpy.core.multiarray.array}
6938/4418    0.097    0.000    0.100    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/matplotlib/transforms.py:134(_invalidate_internal)
        1    0.092    0.092    0.093    0.093 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     1024    0.081    0.000    0.081    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      240    0.080    0.000    0.081    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4902    0.073    0.000    0.075    0.000 /usr/lib/python3.6/contextlib.py:59(__init__)
       40    0.063    0.002    0.063    0.002 {built-in method matplotlib.backends._tkagg.blit}
       40    0.055    0.001    0.066    0.002 {built-in method matplotlib._path.get_path_collection_extents}
     5473    0.054    0.000    0.054    0.000 {method 'partition' of 'numpy.ndarray' objects}
      300    0.054    0.000    0.055    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3373(__setmask__)
