         2427882 function calls (2425932 primitive calls) in 83.240 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1440   54.956    0.038   54.956    0.038 {method 'acquire' of '_thread.lock' objects}
     1118   12.786    0.011   12.786    0.011 {method 'recv_into' of '_socket.socket' objects}
       72    3.877    0.054    3.877    0.054 {method 'acquire' of '_multiprocessing.SemLock' objects}
       72    2.216    0.031    2.216    0.031 {method 'connect' of '_socket.socket' objects}
      972    1.924    0.002    1.924    0.002 {method 'argsort' of 'numpy.ndarray' objects}
      360    1.301    0.004    1.301    0.004 {built-in method posix.fork}
     1612    0.980    0.001    0.980    0.001 {built-in method posix.waitpid}
       72    0.815    0.011    0.815    0.011 {built-in method batman._rsky._rsky}
       72    0.443    0.006    1.155    0.016 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
     1080    0.272    0.000    2.041    0.002 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:5474(sort)
    34305    0.210    0.000    0.215    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2700    0.176    0.000    0.182    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3373(__setmask__)
    14448    0.143    0.000    0.143    0.000 {method 'partition' of 'numpy.ndarray' objects}
       72    0.108    0.001    0.108    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
        1    0.097    0.097    0.098    0.098 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     3240    0.091    0.000    0.144    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:3158(__getitem__)
     1143    0.085    0.000    0.106    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
       83    0.081    0.001   83.088    1.001 transitsim.py:91(simulate_one)
    15362    0.078    0.000    0.333    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/utils.py:1119(_median_nancheck)
    29160    0.076    0.000    0.131    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2902(_update_from)
    14282    0.074    0.000    0.667    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/lib/function_base.py:3342(_median)
    84134    0.074    0.000    0.088    0.000 {built-in method numpy.core.multiarray.array}
       72    0.071    0.001    0.071    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
    17640    0.060    0.000    0.194    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:2928(__array_finalize__)
      476    0.059    0.000    0.059    0.000 {built-in method numpy.core.multiarray.concatenate}
    32384    0.058    0.000    0.088    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1468(normalize_axis_tuple)
     1980    0.056    0.000    0.140    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1006(__call__)
    16192    0.054    0.000    0.186    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/numeric.py:1524(moveaxis)
     4158    0.051    0.000    0.051    0.000 {method 'copy' of 'numpy.ndarray' objects}
      360    0.050    0.000    1.394    0.004 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
    16428    0.049    0.000    0.049    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   284345    0.048    0.000    0.049    0.000 {built-in method builtins.getattr}
       72    0.047    0.001    0.047    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
    14282    0.045    0.000    0.114    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/core/_methods.py:58(_mean)
      900    0.045    0.000    2.815    0.003 /home/yangyangli/.local/lib/python3.6/site-packages/astropy/stats/sigma_clipping.py:131(_perform_clip)
     2520    0.040    0.000    0.064    0.000 /home/yangyangli/.local/lib/python3.6/site-packages/numpy/ma/core.py:1695(mask_or)
       72    0.039    0.001    0.040    0.001 {built-in method _socket.getaddrinfo}
     3042    0.038    0.000    0.038    0.000 {built-in method numpy.core.multiarray.copyto}
       72    0.033    0.000    1.591    0.022 /usr/lib/python3.6/multiprocessing/pool.py:225(_repopulate_pool)
      360    0.030    0.000    0.046    0.000 /usr/lib/python3.6/multiprocessing/process.py:71(__init__)
