         64409 function calls (64225 primitive calls) in 4.509 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    3.634    0.091    3.634    0.091 {method 'acquire' of '_thread.lock' objects}
       33    0.452    0.014    0.452    0.014 {method 'recv_into' of '_socket.socket' objects}
        1    0.088    0.088    0.089    0.089 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
        2    0.077    0.038    0.077    0.038 {method 'acquire' of '_multiprocessing.SemLock' objects}
        2    0.058    0.029    0.058    0.029 {method 'connect' of '_socket.socket' objects}
        2    0.033    0.016    0.034    0.017 {built-in method _socket.getaddrinfo}
       10    0.032    0.003    0.032    0.003 {built-in method posix.fork}
       47    0.029    0.001    0.029    0.001 {built-in method posix.waitpid}
        2    0.013    0.007    0.013    0.007 {built-in method batman._rsky._rsky}
        2    0.010    0.005    0.027    0.013 /scratch/yyl/noisecorre/keputils.py:6(median_filter)
       12    0.007    0.001    0.007    0.001 {method 'argsort' of 'numpy.ndarray' objects}
      405    0.003    0.000    0.003    0.000 {method 'partition' of 'numpy.ndarray' objects}
       34    0.002    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/kplr/mast.py:42(__call__)
        3    0.002    0.001    0.003    0.001 /usr/lib/python3/dist-packages/pandas/core/internals.py:4801(_stack_arrays)
        2    0.002    0.001    0.002    0.001 /scratch/yyl/noisecorre/keputils.py:135(phase_fold_time)
      401    0.002    0.000    0.016    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4125(_median)
      646    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      413    0.002    0.000    0.006    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1119(_median_nancheck)
        2    0.002    0.001    4.406    2.203 transitsim.py:68(simulate_one)
      866    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:1459(normalize_axis_tuple)
       10    0.001    0.000    0.035    0.003 /usr/lib/python3.6/multiprocessing/popen_fork.py:63(_launch)
        2    0.001    0.001    0.001    0.001 {built-in method batman._quadratic_ld._quadratic_ld}
        2    0.001    0.001    0.001    0.001 /usr/lib/python3.6/json/decoder.py:345(raw_decode)
