         7221589 function calls (7220879 primitive calls) in 531.857 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3090    0.034    0.000    0.034    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      400    0.034    0.000    0.057    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/dataset.py:53(make_new_dset)
      927    0.034    0.000    0.077    0.000 /usr/lib/python3.6/threading.py:757(__init__)
     3422    0.033    0.000    0.164    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:1007(__call__)
     1545    0.032    0.000    1.203    0.001 /usr/local/lib/python3.6/dist-packages/astropy/stats/sigma_clipping.py:131(_perform_clip)
   219060    0.031    0.000    0.031    0.000 {method 'update' of 'dict' objects}
     2507    0.031    0.000    0.036    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
   134042    0.031    0.000    0.031    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
    69499    0.030    0.000    0.030    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     6769    0.030    0.000    0.249    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:3004(__array_wrap__)
    32518    0.029    0.000    0.031    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:2560(geterr)
      503    0.029    0.000    0.131    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:86(_var)
     6874    0.028    0.000    4.969    0.001 /usr/lib/python3.6/multiprocessing/popen_fork.py:24(poll)
     3714    0.027    0.000    0.054    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:846(__call__)
      618    0.026    0.000    0.026    0.000 {method 'choice' of 'mtrand.RandomState' objects}
      309    0.026    0.000   71.867    0.233 /usr/local/lib/python3.6/dist-packages/kplr/api.py:155(mast_request)
     1854    0.026    0.000    0.497    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/extras.py:699(_median)
      309    0.026    0.000   20.813    0.067 /usr/lib/python3.6/multiprocessing/pool.py:561(_terminate_pool)
     1545    0.025    0.000    0.211    0.000 /usr/lib/python3.6/multiprocessing/pool.py:150(Process)
      698    0.024    0.000    0.124    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4298(_percentile)
     4907    0.024    0.000    0.244    0.000 /usr/local/lib/python3.6/dist-packages/kplr/api.py:721(__init__)
     1545    0.022    0.000    0.046    0.000 /usr/lib/python3.6/multiprocessing/process.py:52(_cleanup)
